법정동코드,법정동명
26260105,부산광역시 동래구 복천동
26260106,부산광역시 동래구 수안동
26260107,부산광역시 동래구 명륜동
26260108,부산광역시 동래구 온천동
26260109,부산광역시 동래구 사직동
26290106,부산광역시 남구 대연동
26290107,부산광역시 남구 용호동
26290108,부산광역시 남구 용당동
26290109,부산광역시 남구 문현동
26290110,부산광역시 남구 우암동
26290111,부산광역시 남구 감만동
26320101,부산광역시 북구 금곡동
26320102,부산광역시 북구 화명동
26320103,부산광역시 북구 만덕동
26320104,부산광역시 북구 덕천동
26320105,부산광역시 북구 구포동
26350101,부산광역시 해운대구 반송동
26350102,부산광역시 해운대구 석대동
26350103,부산광역시 해운대구 반여동
26350104,부산광역시 해운대구 재송동
26350105,부산광역시 해운대구 우동
26350106,부산광역시 해운대구 중동
26350107,부산광역시 해운대구 좌동
26350108,부산광역시 해운대구 송정동
26380101,부산광역시 사하구 괴정동
26380102,부산광역시 사하구 당리동
26380103,부산광역시 사하구 하단동
26380104,부산광역시 사하구 신평동
26380105,부산광역시 사하구 장림동
26380106,부산광역시 사하구 다대동
26380107,부산광역시 사하구 구평동
26380108,부산광역시 사하구 감천동
26410101,부산광역시 금정구 두구동
26410102,부산광역시 금정구 노포동
26410103,부산광역시 금정구 청룡동
26410104,부산광역시 금정구 남산동
26410105,부산광역시 금정구 선동
26410106,부산광역시 금정구 오륜동
26410107,부산광역시 금정구 구서동
26410108,부산광역시 금정구 장전동
26410109,부산광역시 금정구 부곡동
26410110,부산광역시 금정구 서동
26410111,부산광역시 금정구 금사동
26410112,부산광역시 금정구 회동동
26410113,부산광역시 금정구 금성동
26440101,부산광역시 강서구 대저1동
26440102,부산광역시 강서구 대저2동
26440103,부산광역시 강서구 강동동
26440104,부산광역시 강서구 명지동
26440105,부산광역시 강서구 죽림동
26440106,부산광역시 강서구 식만동
26440107,부산광역시 강서구 죽동동
26440108,부산광역시 강서구 봉림동
26440109,부산광역시 강서구 송정동
26440110,부산광역시 강서구 화전동
26440111,부산광역시 강서구 녹산동
26440112,부산광역시 강서구 생곡동
26440113,부산광역시 강서구 구랑동
26440114,부산광역시 강서구 지사동
26440115,부산광역시 강서구 미음동
26440116,부산광역시 강서구 범방동
26440117,부산광역시 강서구 신호동
26440118,부산광역시 강서구 동선동
26440119,부산광역시 강서구 성북동
26440120,부산광역시 강서구 눌차동
26440121,부산광역시 강서구 천성동
26440122,부산광역시 강서구 대항동
26470101,부산광역시 연제구 거제동
26470102,부산광역시 연제구 연산동
26500101,부산광역시 수영구 망미동
26500102,부산광역시 수영구 수영동
26500103,부산광역시 수영구 민락동
26500104,부산광역시 수영구 광안동
26500105,부산광역시 수영구 남천동
26530101,부산광역시 사상구 삼락동
26530102,부산광역시 사상구 모라동
26530103,부산광역시 사상구 덕포동
26530104,부산광역시 사상구 괘법동
26530105,부산광역시 사상구 감전동
26530106,부산광역시 사상구 주례동
26530107,부산광역시 사상구 학장동
26530108,부산광역시 사상구 엄궁동
26710250,부산광역시 기장군 기장읍
26710253,부산광역시 기장군 장안읍
26710256,부산광역시 기장군 정관읍
26710310,부산광역시 기장군 일광면
26710330,부산광역시 기장군 철마면
27110101,대구광역시 중구 동인동1가
27110102,대구광역시 중구 동인동2가
27110103,대구광역시 중구 동인동3가
27110104,대구광역시 중구 동인동4가
27110105,대구광역시 중구 삼덕동1가
27110106,대구광역시 중구 삼덕동2가
27110107,대구광역시 중구 삼덕동3가
27110108,대구광역시 중구 봉산동
27110109,대구광역시 중구 장관동
27110110,대구광역시 중구 상서동
27110111,대구광역시 중구 수동
27110112,대구광역시 중구 덕산동
27110113,대구광역시 중구 종로1가
27110114,대구광역시 중구 종로2가
27110115,대구광역시 중구 사일동
27110116,대구광역시 중구 동일동
27110117,대구광역시 중구 남일동
27110118,대구광역시 중구 전동
27110119,대구광역시 중구 동성로3가
27110120,대구광역시 중구 동문동
27110121,대구광역시 중구 문화동
27110122,대구광역시 중구 공평동
27110123,대구광역시 중구 동성로2가
27110124,대구광역시 중구 태평로1가
27110125,대구광역시 중구 교동
27110126,대구광역시 중구 용덕동
27110127,대구광역시 중구 상덕동
27110128,대구광역시 중구 완전동
27110129,대구광역시 중구 도원동
27110130,대구광역시 중구 수창동
27110131,대구광역시 중구 태평로3가
27110132,대구광역시 중구 인교동
27110133,대구광역시 중구 서야동
27110134,대구광역시 중구 서성로1가
27110135,대구광역시 중구 시장북로
27110136,대구광역시 중구 하서동
27110137,대구광역시 중구 남성로
27110138,대구광역시 중구 계산동1가
27110139,대구광역시 중구 계산동2가
27110140,대구광역시 중구 동산동
27110141,대구광역시 중구 서문로2가
27110142,대구광역시 중구 서성로2가
